	Threshold	Precision	Recall	f1_score
375.0	0.9827653169631958	0.9315068493150684	0.6538461538461539	0.7683615819209039
376.0	0.982809841632843	0.9305555555555556	0.6504854368932039	0.7657142857142858
377.0	0.9828269481658936	0.9295774647887324	0.6470588235294118	0.7630057803468208
378.0	0.9829505681991577	0.9285714285714286	0.65	0.7647058823529412
379.0	0.9836291074752808	0.927536231884058	0.6530612244897959	0.7664670658682634
380.0	0.9838218688964844	0.9264705882352942	0.65625	0.7682926829268293
381.0	0.9838637709617615	0.9253731343283582	0.6595744680851063	0.7701863354037266
382.0	0.9842724204063416	0.9242424242424242	0.6559139784946236	0.7672955974842767
383.0	0.9843339323997498	0.9230769230769231	0.6521739130434783	0.7643312101910829
384.0	0.9843922257423401	0.921875	0.6483516483516484	0.7612903225806452
385.0	0.9844189882278442	0.9206349206349206	0.6444444444444445	0.7581699346405228
386.0	0.9844727516174316	0.9193548387096774	0.6477272727272727	0.76
387.0	0.9845800399780273	0.9180327868852459	0.6436781609195402	0.7567567567567568
388.0	0.9846006035804749	0.9166666666666666	0.6470588235294118	0.7586206896551724
389.0	0.9846205711364746	0.9152542372881356	0.6428571428571429	0.7552447552447552
390.0	0.9846326112747192	0.9310344827586207	0.6585365853658537	0.7714285714285715
391.0	0.9850589036941528	0.9298245614035088	0.6625	0.7737226277372262
392.0	0.9851324558258057	0.9285714285714286	0.6582278481012658	0.7703703703703704
393.0	0.9852616190910339	0.9272727272727272	0.6538461538461539	0.7669172932330828
394.0	0.9854726195335388	0.9259259259259259	0.6578947368421053	0.7692307692307692
395.0	0.9856329560279846	0.9245283018867925	0.6533333333333333	0.765625
396.0	0.9856647253036499	0.9230769230769231	0.6575342465753424	0.768
397.0	0.9858222007751465	0.9215686274509803	0.6527777777777778	0.7642276422764227
398.0	0.9858942627906799	0.92	0.647887323943662	0.7603305785123967
399.0	0.9858995676040649	0.9183673469387755	0.6428571428571429	0.7563025210084034
400.0	0.9859679341316223	0.9166666666666666	0.6470588235294118	0.7586206896551724
401.0	0.9862104654312134	0.9148936170212766	0.6515151515151515	0.7610619469026548
402.0	0.9864499568939209	0.9130434782608695	0.6461538461538462	0.7567567567567568
403.0	0.9864523410797119	0.9111111111111111	0.640625	0.7522935779816514
404.0	0.9867143034934998	0.9090909090909091	0.6349206349206349	0.7476635514018691
405.0	0.9867842793464661	0.9069767441860465	0.6290322580645161	0.7428571428571429
406.0	0.987052321434021	0.9047619047619048	0.6333333333333333	0.7450980392156863
407.0	0.9871238470077515	0.9024390243902439	0.6379310344827587	0.7474747474747474
408.0	0.9871855974197388	0.9	0.631578947368421	0.7422680412371133
